Model,Accuracy,Precision,Recall,F1,False Positives,False Negatives
Decision Tree,0.9951440870247461,0.9924859110832811,0.9990730441230997,0.9957685840462684,204,25
Logistic Regression,0.9931508301702751,0.9886309458319581,0.9995179829440118,0.9940446558622342,310,13
Naive Bayes,0.9917301045399606,0.989178445229682,0.996440489432703,0.9927961875207802,294,96
